id,name,reversibility,lower_bound,upper_bound,metabolite_count,gene_reaction_rule
ALATA_Lm,L alanine transaminase  mitochondrial,True,-999999.0,999999.0,4,YLR089C
ACOATA,Acetyl-CoA ACP transacylase,True,-999999.0,999999.0,4,YKL182W and YPL231W
ACOATAm,Acetyl CoA ACP transacylase,True,-999999.0,999999.0,4,YKL192C and YER061C and YHR067W and YOR221C and YBR026C and YKL055C
ACON3MT,Trans aconitate 3 methyltransferase,False,0.0,999999.0,4,YER175C
ALATRS,Alanyl-tRNA synthetase,False,0.0,999999.0,6,YOR335C
34HPPt2m,3  4 hydroxyphenyl pyruvate mitochondrial transport via proton symport,True,-999999.0,999999.0,4,
ALAt2r,L alanine reversible transport via proton symport,True,-999999.0,999999.0,4,YKR039W or YPL265W or YCL025C or YOL020W or YOR348C
ALAtmi,Alanine transport from mitochondia to cytoplasm,False,0.0,999999.0,2,
ACONT,Aconitate hydratase,True,-999999.0,999999.0,2,YLR304C
ACONT3m,Aconitase  mitochondrial,True,-999999.0,999999.0,2,YPR002W
ACONTm,Aconitate hydratase,True,-999999.0,999999.0,2,YLR304C or YJL200C
ACOTAim,Acteylornithine transaminase  irreversible  mitochondrial,False,0.0,999999.0,4,YOL140W
ALCD19y,Alcohol dehydrogenase  glycerol  NADP,False,0.0,999999.0,5,YHR104W or YDR368W
ALCD22xi,Aldehyde dehydrogenase  2 methylbutanol  NAD,False,0.0,999999.0,5,YBR145W or YMR303C or YDL168W or YGL256W or YOL086C
ALCD22xim,Aldehyde dehydrogenase  2 methylbutanol  NAD   mitochondrial,False,0.0,999999.0,5,YMR083W
34HPPt2p,3  4 hydroxyphenyl pyruvate peroxisomal transport via proton symport,True,-999999.0,999999.0,4,
ALCD22yi,Aldehyde dehydrogenase  2 methylbutanol  NADP,False,0.0,999999.0,5,YDR368W or YMR318C or YBR036C
ALCD23xi,Aldehyde dehydrogenase  isobutyl alcohol  NAD,False,0.0,999999.0,5,YGL256W or YBR145W or YDL168W or YOL086C or YMR303C
ALCD23xim,Aldehyde dehydrogenase  isobutyl alcohol  NAD   mitochondrial,False,0.0,999999.0,5,YMR083W
ALCD23yi,Aldehyde dehydrogenase  isobutyl alcohol  NADP,False,0.0,999999.0,5,YBR036C or YMR318C
ALCD24xi,Aldehyde dehydrogenase  isoamyl alcohol  NAD,False,0.0,999999.0,5,YDL168W or YGL256W or YMR303C or YOL086C or YBR145W
ALCD24xim,Aldehyde dehydrogenase  isoamyl alcohol  NAD   mitochondrial,False,0.0,999999.0,5,YMR083W
ACP1e,Acid phosphatase  extracellular  secreted,False,0.0,999999.0,4,YBR093C or YAR071W
ACPSm,Acyl carrier protein synthase  mitochondrial,False,0.0,999999.0,5,YPL148C
ACRNtm,O acetylcarnintine transport into mitochondria via diffusion,False,0.0,999999.0,2,
ACRNtp,Acetylcarnitine transport out of peroxisome,False,0.0,999999.0,2,
ACS,Acetyl-CoA synthetase,False,0.0,999999.0,6,YLR153C
ACSm,Acetyl CoA synthetase,False,0.0,999999.0,6,YAL054C
ACSp,Acetyl CoA synthetase,False,0.0,999999.0,6,YAL054C
ACt2r,Acetate reversible transport via proton symport,True,-999999.0,999999.0,4,YCR032W
ALCD24yi,Aldehyde dehydrogenase  isoamyl alcohol  NADP,False,0.0,999999.0,5,YMR318C or YBR036C
ALCD25xi,Aldehyde dehydrogenase  2 phenylethanol  NAD,False,0.0,999999.0,5,YGL256W or YMR303C or YDL168W or YOL086C or YBR145W
ALCD25xim,Aldehyde dehydrogenase  2 phenylethanol  NAD   mitochondrial,False,0.0,999999.0,5,YMR083W
ALCD25yi,Aldehyde dehydrogenase  2 phenylethanol  NADP,False,0.0,999999.0,5,YMR318C or YBR036C
ACtm,Acetate transport  mitochondrial,True,-999999.0,999999.0,2,
3C3HMPt,2 Isopropylmalate transport  diffusion,True,-999999.0,999999.0,2,
ACtp,Acetate transport  peroxisomal,True,-999999.0,999999.0,2,
ACtr,Acetate transporter,True,-999999.0,999999.0,2,YCR010C
ADA,Adenosine deaminase,False,0.0,999999.0,5,YNL141W
ADCL,4-aminobenzoate synthase,False,0.0,999999.0,4,YMR289W
ALCD26xi,Aldehyde dehydrogenase  tryptophol  NAD,False,0.0,999999.0,5,YGL256W or YDL168W or YMR303C or YBR145W or YOL086C
ALCD26xim,Aldehyde dehydrogenase  tryptophol  NAD   mitochondrial,False,0.0,999999.0,5,YMR083W
ALCD2x_copy1,Alcohol dehydrogenase (ethanol),False,0.0,999999.0,5,YMR303C
ALCD2ir,Alcohol dehydrogenase  reverse rxn  acetaldehyde   ethanol,False,0.0,999999.0,5,YOL086C or YGL256W or YBR145W
ALCD2irm,Alcohol dehydrogenase  reverse rxn  acetaldehyde   ethanol   mitochondrial,False,0.0,999999.0,5,YMR083W
ADCS,4-amino-4-deoxychorismate synthase,False,0.0,999999.0,4,YNR033W
3C3HMPtm,2 Isopropylmalate transport  diffusion  mitochondrial,True,-999999.0,999999.0,2,
ADD,Adenine deaminase,False,0.0,999999.0,5,YNL141W
ADEt2,Adenine transport in via proton symport,False,0.0,999999.0,4,YER056C or YER060W or YER060W_A or YGL186C
ADEtm,Adenine reversible transport  mitochondria,True,-999999.0,999999.0,2,
ADHAPR_SC,Acyldihydroxyacetonephosphate reductase  yeast specific,False,0.0,999999.0,5,YIL124W
ADK1,Adenylate kinase,True,-999999.0,999999.0,3,YDR226W
ADK1m,Adenylate kinase  mitochondrial,True,-999999.0,999999.0,3,YER170W
ADK3,Adentylate kinase (GTP),True,-999999.0,999999.0,4,YDR226W
ALCD2x_copy2,Alcohol dehydrogenase (ethanol),True,-999999.0,999999.0,5,YDL168W
ALDD19xr,"Aldehyde dehydrogenase (phenylacetaldehyde, NAD)",False,0.0,999999.0,6,YMR170C or YMR169C
ALDD20xm,Aldehyde dehydrogenase  indole 3 acetaldehyde  NAD   mitochondrial,False,0.0,999999.0,6,YOR374W
ALDD20y,Aldehyde dehydrogenase  indole 3 acetaldehyde  NADP,False,0.0,999999.0,6,YPL061W
ALDD20ym,Aldehyde dehydrogenase  indole 3 acetaldehyde  NADP   mitochondrial,False,0.0,999999.0,6,YOR374W or YER073W
ALDD22x,Aldehyde dehydrogenase  3 aminopropanal  NAD,False,0.0,999999.0,6,YMR170C or YMR169C
ALDD2xm,Aldehyde dehydrogenase  acetylaldehyde  NAD   mitochondrial,False,0.0,999999.0,6,YOR374W
ALDD2y,"Aldehyde dehydrogenase (acetaldehyde, NADP)",False,0.0,999999.0,6,YPL061W
ALDD2ym,Aldehyde dehydrogenase  acetylaldehyde  NADP   mitochondrial,False,0.0,999999.0,6,YER073W or YOR374W
ADK3m,Adentylate kinase  GTP,True,-999999.0,999999.0,4,YER170W
ADK4,Adentylate kinase (ITP),True,-999999.0,999999.0,4,YDR226W
ADK4m,Adentylate kinase  ITP   mitochondrial,True,-999999.0,999999.0,4,YER170W
ADMDC,Adenosylmethionine decarboxylase,False,0.0,999999.0,4,YOL052C
ADNCYC,Adenylate cyclase,False,0.0,999999.0,3,YJL005W
ADNK1,Adenosine kinase,False,0.0,999999.0,5,YJR105W
ADNUC,Adenosine hydrolase,False,0.0,999999.0,4,YDR400W
ALLTAHr,Allantoate amidinohydrolase  reversible,True,-999999.0,999999.0,4,YIR029W
ALLTN,Allantoinase,True,-999999.0,999999.0,4,YIR027C
ALLTNti,Allantoin irreversible uniport,False,0.0,999999.0,2,YIR028W
ALLTTti,Allantoate irreversible uniport,False,0.0,999999.0,2,YJR152W
ADNt2,Adenosine transport in via proton symport,False,0.0,999999.0,4,YAL022C
3C4MOPtm,3 Carboxy 4 methyl 2 oxopentanoate transport  diffusion  mitochondrial,True,-999999.0,999999.0,2,
ADPT,Adenine phosphoribosyltransferase,False,0.0,999999.0,4,YML022W or YDR441C
ADSK,Adenylyl-sulfate kinase,False,0.0,999999.0,5,YKL001C
ALPHNH,Allophanate hydrolase,False,0.0,999999.0,5,YBR208C
AMAOTr,Adenosylmethionine-8-amino-7-oxononanoate transaminase,True,-999999.0,999999.0,4,YNR058W
ADSL1r,Adenylsuccinate lyase,True,-999999.0,999999.0,3,YLR359W
AMETt2,S adenosyl L methionine transport in via proton symport,False,0.0,999999.0,4,YPL274W
3DH5HPBMTm,S adenosyl L methionine3 hexaprenyl 4 5 dihydroxylate O methyltransferase  mitochondrial,False,0.0,999999.0,5,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C
AMETtm,S Adenosyl L methionine reversible transport  mitochondrial,True,-999999.0,999999.0,2,YNL003C
AMID,GUANIDINOBUTANAMIDE-NH3-RXN,False,0.0,999999.0,4,YMR293C or YDR242W
AMID2,Amidase,False,0.0,999999.0,4,YDR242W
AMID3,Amidase,False,0.0,999999.0,4,YDR242W
ADSL2r,Adenylosuccinate lyase,True,-999999.0,999999.0,3,YLR359W
ADSS,Adenylosuccinate synthase,False,0.0,999999.0,7,YNL220W
AMPN,AMP nucleosidase,False,0.0,999999.0,4,YML035C or YBR284W or YJL070C
AMPDA,Adenosine monophosphate deaminase,False,0.0,999999.0,5,YML035C
3DH5HPBtm,3 Hexaprenyl 4 5 dihydroxybenzoate transport  mitochondrial,True,-999999.0,999999.0,2,
AMPtn,AMP transport via diffusion  cytosol to nucleus,True,-999999.0,999999.0,2,
ANPRT,Anthranilate phosphoribosyltransferase,False,0.0,999999.0,4,YDR354W
ATPS3v,ATP synthase  vacuole,False,0.0,999999.0,6,YBR127C and YDL185W and YEL027W and YEL051W and YGR020C and YHR026W and YHR039C_A and YKL080W and YLR447C and YOR270C and YOR332W and YPL234C and YPR036W
3DSPHR,3 Dehydrosphinganine reductase,False,0.0,999999.0,5,YBR265W
ATPtm_H,ADPATP transporter  mitochondrial,False,0.0,999999.0,6,YBR085W or YBL030C or YMR056C
ATPtp_H,ADPATP transporter  peroxisomal,False,0.0,999999.0,6,YPR128C
ANS,Anthranilate synthase,False,0.0,999999.0,6,YER090W and YKL211C
AOBUTDs,L-2-amino-3-oxobutanoate decarboxylation (spontaneous),False,0.0,999999.0,4,
AP4AH,Ap4A hydrolase,True,-999999.0,999999.0,4,YDR305C
APRTO2,N acetylputrescine oxygen oxireductase  deaminating,False,0.0,999999.0,6,
ARAB14LO,D arabinono 1 4 lactone oxidase,True,-999999.0,999999.0,4,YML086C
BACCL,Biotin acetyl CoA carboxylase ligase,False,0.0,999999.0,5,YDL141W
3HAO,3 hydroxyanthranilate 3 4 dioxygenase,False,0.0,999999.0,4,YJR025C
ARAB1D2,D arabinose 1 dehydrogenase  NADP,False,0.0,999999.0,5,YBR149W
ARABR,Arabinose reductase,False,0.0,999999.0,5,YHR104W
3HPH5MBDCm,3 Hexaprenyl 4 hydroxy 5 methoxybenzoate decarboxylase  mitochondrial,False,0.0,999999.0,3,
ARAB_Dt,D arabinose reversible transport,True,-999999.0,999999.0,2,
ARAB_Lt,L arabinoase extracellular transport,True,-999999.0,999999.0,2,
ARGN,Arginase,False,0.0,999999.0,4,YPL111W
BPNT,"3',5'-bisphosphate nucleotidase",False,0.0,999999.0,4,YOL064C
BTDD_RR,R R  butanediol dehydrogenase,True,-999999.0,999999.0,5,YAL060W
BTDt_RR,R R  butanediol transport,True,-999999.0,999999.0,2,
3IPM3MT,3 Isopropylmalate 3 methyltransferase,False,0.0,999999.0,4,YER175C
BTNt2i,Biotin uptake,False,0.0,999999.0,4,YGR065C
BTSr,Biotin synthase,True,-999999.0,999999.0,4,YGR286C
C14STR,C 14 sterol reductase,False,0.0,999999.0,5,YNL280C
C22STDS,C 22 sterol desaturase  NADP,False,0.0,999999.0,7,YMR015C and YHR042W
C22STDSx,C 22 sterol desaturase  NAD,False,0.0,999999.0,7,(YIL043C and YNL111C and YMR015C) or (YNL111C and YMR015C and YKL150W)
C24STRer,C s24 sterol reductase  endoplamic reticular,False,0.0,999999.0,5,YGL012W
C3STDH1,C 3 sterol dehydrogenase  4 methylzymosterol,False,0.0,999999.0,6,YGL001C
ARGSL,Argininosuccinate lyase,True,-999999.0,999999.0,3,YHR018C
ARGSS,Argininosuccinate synthase,True,-999999.0,999999.0,7,YOL058W
ARGTRS,Arginyl-tRNA synthetase,False,0.0,999999.0,6,YDR341C
ARGTRSm,Arginyl tRNA synthetase  mitochondrial,False,0.0,999999.0,6,YHR091C
ARGt2m,Arginine mitochondrial transport via proton symport,True,-999999.0,999999.0,4,
ARGt2r,L arganine reversible transport via proton symport,True,-999999.0,999999.0,4,YKR039W or YEL063C or YNL270C
ARGt6,L arginine transport in via proton antiport  vacuolar,False,0.0,999999.0,4,YBR293W
ARMT,HnRNP arginine N methyltransferase,False,0.0,999999.0,5,YBR034C
ASAD,Aspartate-semialdehyde dehydrogenase,False,-999999.0,0.0,6,YDR158W
C3STDH2,C 3 sterol dehydrogenase  zymosterol,False,0.0,999999.0,6,YGL001C
C3STKR1,C 3 sterol keto reductase  4 methylzymosterol,False,0.0,999999.0,5,YLR100W
C3STKR2,C 3 sterol keto reductase  zymosterol,False,0.0,999999.0,5,YLR100W
ASNN,L-asparaginase,False,0.0,999999.0,4,YDR321W
C4STMO1,C 4 sterol methyl oxidase  4 4 dimethylzymosterol,False,0.0,999999.0,7,YGR060W
ASNNe,L asparaginase  extracellular,False,0.0,999999.0,4,YLR160C or YLR158C or YLR157C or YLR155C
C4STMO2,C 4 sterol methyl oxidase  4 methylzymosterol,False,0.0,999999.0,7,YGR060W
ASNS1,Asparagine synthase (glutamine-hydrolysing),False,0.0,999999.0,9,YML096W or YGR124W or YPR145W
3MBALDt,3 methylbutanal transport  extracellular,True,-999999.0,999999.0,2,
ASNTRS,Asparaginyl-tRNA synthetase,False,0.0,999999.0,6,YHR019C
ASNTRSm,Asparaginyl tRNA synthetase  miotchondrial,False,0.0,999999.0,6,YCR024C
C5STDS,C 5 sterol desaturase,False,0.0,999999.0,7,YLR056W
C8STI,C 8 sterol isomerase,False,0.0,999999.0,2,YMR202W
ASNt2m,Asparagine mitochondrial transport via proton transport,True,-999999.0,999999.0,4,
ASNt2r,L asparagine reversible transport via proton symport,True,-999999.0,999999.0,4,YKR039W or YCL025C or YDR508C or YPL265W
3MBALDtm,3 methylbutanal transport  mitochondrial,True,-999999.0,999999.0,2,
ASNt6,L asparagine transport in via proton antiport  vacuolar,False,0.0,999999.0,4,YJR001W
ASNt7,L asparagine transport out via proton symport  vacuolar,False,0.0,999999.0,4,YKL146W or YNL101W
CAT,Catalase,False,0.0,999999.0,3,YGR088W
CATp,Catalase A  peroxisomal,False,0.0,999999.0,3,YDR256C
ASPCT,Aspartate carbamoyltransferase,False,0.0,999999.0,5,YJL130C
3MOBDC,3 Methyl 2 oxobutanoate decarboxylase,False,0.0,999999.0,4,YLR134W or YLR044C or (YGR087C and YGR087C)
ASPGLU2m,Aspartate glutamate transporter,False,0.0,999999.0,4,YPR021C
ASPGLUtp,Aspartate glutamate peroxisomal shuttle,True,-999999.0,999999.0,4,
ASPK,Aspartate kinase,False,0.0,999999.0,4,YER052C
ASPOcm,Aspartate oxidase,False,0.0,999999.0,5,
CBASPtn,N carbomoyl L aspartate transport  diffusion,True,-999999.0,999999.0,2,
CBPS,Carbamoyl-phosphate synthase (glutamine-hydrolysing),False,0.0,999999.0,9,(YJR109C and YOR303W) or YJL130C
CBPtn,Carbamoyl phosphate nuclear transport via diffusion,True,-999999.0,999999.0,2,
CCP2m,Cytochrome c peroxidase  mitochondrial,False,0.0,999999.0,4,(YKR066C and YJR048W) or (YKR066C and YEL039C)
CDPDGPm_SC,CDP diacylglycerol  serine O phosphatidyltransferae  yeast specific  mitochondrial,True,-999999.0,999999.0,5,YCL004W
ASPTA,Aspartate transaminase,True,-999999.0,999999.0,4,YLR027C
ASPTAm,Aspartate transaminase,True,-999999.0,999999.0,4,YKL106W
3MOBtm,3 methyl 2 oxobutanoate transport  diffusion  mitochondrial,True,-999999.0,999999.0,2,
ASPTAp,Aspartate transaminase  peroxisomal,True,-999999.0,999999.0,4,YLR027C
ASPTRS,Aspartyl-tRNA synthetase,False,0.0,999999.0,6,YLL018C
ASPTRSm,Aspartyl tRNA synthetase  mitochondrial,False,0.0,999999.0,6,YPL104W
CDPtn,CDP nuclear transport,True,-999999.0,999999.0,2,
CER1_24ter,Ceramide 1  C24  endoplasmic reticular transport,True,-999999.0,999999.0,2,
CER1_26ter,Ceramide 1  C26  endoplasmic reticular transport,True,-999999.0,999999.0,2,
CER2_24ter,Ceramide 2  C24  endoplasmic reticular transport,True,-999999.0,999999.0,2,
CER2_26ter,Ceramide 2  C26  endoplasmic reticular transport,True,-999999.0,999999.0,2,
ASPt2m,Aspartate mitochondrial transport via proton symport,True,-999999.0,999999.0,4,
ASPt2n,Aspartate nuclear transport via proton symport,True,-999999.0,999999.0,4,
CERASE124er,Alkaline ceramidase  ceramide 1   endoplasmic reticulum,False,0.0,999999.0,5,YPL087W
3MOPDC,3 Methyl 2 oxopentanoate decarboxylase,False,0.0,999999.0,4,YLR044C or YDL080C or YLR134W or YGR087C or YDR380W
CERASE126er,Alkaline ceramidase  ceramide 1   endoplasmic reticulum,False,0.0,999999.0,5,YPL087W
ASPt2r,L aspartate reversible transport via proton symport,True,-999999.0,999999.0,4,YFL055W or YKR039W or YPL265W
ASPt5n,L aspartate nuclear transport via diffusion,True,-999999.0,999999.0,2,
ASPt7,L aspartate transport out via proton symport  vacuolar,False,0.0,999999.0,4,YER119C
CERASE224er,Alkaline ceramidase  ceramide 2   endoplasmic reticulum,False,0.0,999999.0,5,YPL087W or YBR183W
CERASE226er,Alkaline ceramidase  ceramide 2   endoplasmic reticulum,False,0.0,999999.0,5,YPL087W or YBR183W
ATHRDHr,L-allo-threonine dehydrogenase,True,-999999.0,999999.0,5,YMR226C
3MOPt,3mop reversible trasport,True,-999999.0,999999.0,2,
ATP2tp_H,AMPATP transporter  peroxisomal,False,0.0,999999.0,6,YPR128C
ATPATF1,ATP adenylyltransferase,False,0.0,999999.0,5,YDR530C
ATPATF2,ATP adenylyltransferase,False,0.0,999999.0,5,YCL050C
ATPATF3,ATP adenylyltransferase,False,0.0,999999.0,5,YCL050C
ATPH1,ATP diphosphohydrolase,False,0.0,999999.0,5,YER005W
ATPM,ATP maintenance requirement,False,1.0,1.0,5,
CERH124_copy1,Ceramide 1 hydroxylase  24C,False,0.0,999999.0,7,YDR297W
CERH126_copy1,Ceramide 1 hydroxylase  26C,False,0.0,999999.0,7,YDR297W
CERS124,Ceramide 1 synthase  24C,False,0.0,999999.0,5,YKL008C or YHL003C
CERS124er,Ceramide 1 synthase  24C   endoplasmic reticular,False,0.0,999999.0,5,YHL003C or YKL008C or YPL087W
CERS126,Ceramide 1 synthase  26C,False,0.0,999999.0,5,YKL008C or YHL003C
CERS126er,Ceramide 1 synthase  26C   endoplasmic reticular,False,0.0,999999.0,5,YHL003C or YKL008C or YPL087W
CERS224,Ceramide 2 synthase  24C,False,0.0,999999.0,5,YKL008C or YHL003C
CERS224er,Ceramide 2 synthase  24C   endoplasmic reticular,False,0.0,999999.0,5,YHL003C or YKL008C or YBR183W
ATPPRT,ATP phosphoribosyltransferase,False,0.0,999999.0,4,YER055C
ATPS,ATPase  cytosolic,False,0.0,999999.0,5,(YCR024C_A and YEL017C_A and YGL008C) or (YCR024C_A and YEL017C_A and YPL036W)
